protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
O95400,CD2BP2,-9.129883639868375,22.435914339215202,-36.66659905618861,3.3063868419194983e-7,4.3911923927950884e-5,4.779503921010562,4.357417534587977,Depleted (Input)
Q9NQ50,MRPL40,-9.414085510747626,22.57801527465483,-36.53887710408611,3.3636542098381294e-7,4.3911923927950884e-5,4.776062060352386,4.357417534587977,Depleted (Input)
Q86SX6,GLRX5,-9.143176768142965,22.44256090335249,-36.39850684137303,3.4279738038431886e-7,4.3911923927950884e-5,4.772242363719556,4.357417534587977,Depleted (Input)
O60885,BRD4,-9.093223500139704,22.417584269350865,-36.37797622513931,3.437504668656058e-7,4.3911923927950884e-5,4.77168041684809,4.357417534587977,Depleted (Input)
Q9UMX5,NENF,-9.214648976222207,22.478297007392115,-36.31356883982714,3.467611687146868e-7,4.3911923927950884e-5,4.769912047340529,4.357417534587977,Depleted (Input)
P83916,CBX1,-9.861302032763557,22.801623535662788,-36.23687755795923,3.5038751938039345e-7,4.3911923927950884e-5,4.767795547332909,4.357417534587977,Depleted (Input)
O43290,SART1,-9.02486987940306,22.383407458982543,-35.8668893422745,3.685363772399224e-7,4.3911923927950884e-5,4.757416116648576,4.357417534587977,Depleted (Input)
O43678,NDUFA2,-9.013287768348857,22.377616403455445,-35.82781554256387,3.7051828304611526e-7,4.3911923927950884e-5,4.75630340290121,4.357417534587977,Depleted (Input)
P69905,HBA1,-9.123606675881671,22.432775857221852,-35.75474781542541,3.7425892076850676e-7,4.3911923927950884e-5,4.754214015974943,4.357417534587977,Depleted (Input)
Q8IY17,PNPLA6,-9.746882873061288,22.744413955811655,-35.45399883316698,3.901415056675044e-7,4.3911923927950884e-5,4.74549419470144,4.357417534587977,Depleted (Input)
P14927,UQCRB,-9.513967056060572,22.627956047311297,-35.437416764891836,3.9104053444515273e-7,4.3911923927950884e-5,4.745007740038469,4.357417534587977,Depleted (Input)
P55081,MFAP1,-9.000391478021978,22.371168258292002,-35.36959484698797,3.9474364780747576e-7,4.3911923927950884e-5,4.743011848594406,4.357417534587977,Depleted (Input)
P05114,HMGN1,-9.177676822425447,22.45981093049374,-35.22573632111884,4.0273888027451843e-7,4.3911923927950884e-5,4.73874480154748,4.357417534587977,Depleted (Input)
Q9Y2B0,CNPY2,-9.409962618563181,22.575953828562604,-35.22183356361191,4.029584819138611e-7,4.3911923927950884e-5,4.738628401088041,4.357417534587977,Depleted (Input)
P62072,TIMM10,-8.743935841768913,22.242940440165473,-34.97265209537409,4.17282313564415e-7,4.3911923927950884e-5,4.731125721708523,4.357417534587977,Depleted (Input)
