protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
P07477,PRSS1,11.44777496744971,24.184010235165683,10.751967447076222,1.3016583372490466e-4,0.0039874984488145635,1.8366009175729197,2.39929947288057,Enriched (Pulldown)
A6NJ78,METTL15,10.99129600799709,23.95577075543937,10.36644728040983,1.5485900827165441e-4,0.004536401073557776,1.691699960009771,2.343288555452727,Enriched (Pulldown)
O00746,NME4,10.768403176166572,23.844324339524118,10.160272493215063,1.703546372405133e-4,0.004928717189791887,1.610888265769585,2.307266100984358,Enriched (Pulldown)
Q5TA77,LCE3B,10.607678470709171,23.76396198679541,10.007487264948086,1.8304143768935326e-4,0.005231190356402431,1.5494447189943905,2.2813994762579757,Enriched (Pulldown)
Q5VYS8,TUT7,9.980048251301408,23.45014687709153,9.41222248521374,2.4457438885287796e-4,0.0065029264232414315,1.29666473698091,2.186891159748985,Enriched (Pulldown)
O75962,TRIO,9.739567892535923,23.32990669770879,9.060566649001533,2.9256127106568026e-4,0.00736905116615126,1.1366370769838454,2.1325884279934244,Enriched (Pulldown)
Q96RQ3,MCCC1,9.652153610401331,23.286199556641492,9.105859850819487,2.8578768821392017e-4,0.007279820079666543,1.1577190502417123,2.1378793541174006,Enriched (Pulldown)
P13645,KRT10,9.598554082390912,23.259399792636284,8.723314466411496,3.4949589009606946e-4,0.00831516363898618,0.97509899803494,2.0801291996243263,Enriched (Pulldown)
P02666,CSN2,9.577245243136513,23.248745373009083,8.976675416341186,3.05619869613156e-4,0.007579049359136836,1.0972121585688361,2.1203852645490118,Enriched (Pulldown)
P02663,CSN1S2,9.464555978350123,23.192400740615884,8.889914044961568,3.198630063657498e-4,0.007727824282661183,1.05591610775945,2.11194276158457,Enriched (Pulldown)
Q9NWT8,AURKAIP1,9.310342410276451,23.115293956579055,8.616715677853417,3.701770069897147e-4,0.008631938466471605,0.9223156779697339,2.0638916642203133,Enriched (Pulldown)
P35908,KRT2,9.132430689495454,23.026338096188553,8.565435940187637,3.8064368229376414e-4,0.00883206405401422,0.8966198819841669,2.0539377899088023,Enriched (Pulldown)
P07099,EPHX1,8.792205479644611,22.85622549126313,8.300437049157015,4.4070104521867315e-4,0.010027018441455928,0.7605980608891807,1.9988281863136923,Enriched (Pulldown)
Q5T653,MRPL2,8.664722999304189,22.79248425109292,8.171961382163454,4.738511933757733e-4,0.010468987189064301,0.6926472055796848,1.9800953316427148,Enriched (Pulldown)
Q9UIA9,XPO7,8.663294859243273,22.79177018106247,8.178417773259744,4.7211595555853085e-4,0.010468987189064301,0.6960940115846528,1.9800953316427148,Enriched (Pulldown)
P27448,MARK3,8.645734162627647,22.78298983275465,8.063799638023848,5.040811486508351e-4,0.010938094183918815,0.6343926121436247,1.9610583413947205,Enriched (Pulldown)
Q9BYD2,MRPL9,8.572722425292191,22.74648396408692,8.097108838258865,4.945332921543103e-4,0.010831203459473143,0.6524359227691905,1.9653232860550993,Enriched (Pulldown)
Q99666,RGPD5,8.344907335009012,22.63257641894533,7.784238921414348,5.9349212950867e-4,0.012147151139769155,0.4792396448954239,1.9155255648106495,Enriched (Pulldown)
Q9BYC9,MRPL20,8.328308387133983,22.624276945007818,7.862716235537885,5.666121720443043e-4,0.012016792988107034,0.5234743653731186,1.9202114203036476,Enriched (Pulldown)
Q86XL3,ANKLE2,8.316234991357518,22.618240247119587,7.8100939685203885,5.844720880771794e-4,0.012147151139769155,0.4938728082901047,1.9155255648106495,Enriched (Pulldown)
Q6UW68,TMEM205,8.286545099842478,22.603395301362067,7.807070474633629,5.855184364766591e-4,0.012147151139769155,0.4921646403813078,1.9155255648106495,Enriched (Pulldown)
Q9Y3A2,UTP11,8.273690287196498,22.596967895039075,7.8124524162388225,5.83657437082165e-4,0.012147151139769155,0.4952046910637993,1.9155255648106495,Enriched (Pulldown)
Q8NBM4,UBAC2,8.269703327474126,22.594974415177887,7.792327435826419,5.906526167562262e-4,0.012147151139769155,0.48382382381236244,1.9155255648106495,Enriched (Pulldown)
Q01804,OTUD4,8.212787576003258,22.566516539442457,7.757691452330283,6.02926466843791e-4,0.012286592826508036,0.464153197780524,1.910568533858566,Enriched (Pulldown)
Q9Y673,ALG5,8.151096923113986,22.535671212997823,7.698717910266943,6.245297838709129e-4,0.012414283306224889,0.4304154303142784,1.906078347807862,Enriched (Pulldown)
